id,Pclass,Sex,Age,Age_wiki,Class,SibSp,Parch,Fare,Cabin,Embarked,Hometown,Boarded,Destination,Lifeboat,WikiId,Survived
63,1,male,45.0,45.0,1.0,1,0,83.475,C83,S,"New York, New York, US",Southampton,"New York, New York, US",,149.0,0.0
64,3,male,4.0,5.0,3.0,3,2,27.9,,S,"Hällekis, Västergötland, Sweden",Southampton,"Iron Mountain, Michigan, US",,1218.0,0.0
65,1,male,,54.0,1.0,0,0,27.7208,,C,"Cincinnati, Ohio, US",Cherbourg,"Gallipolis, Ohio, US",,282.0,0.0
66,3,male,,7.0,3.0,1,1,15.2458,,C,"Hardîne, Lebanon",Cherbourg,"Houtzdale, Pennsylvania, US",C,1045.0,1.0
67,2,female,29.0,29.0,2.0,0,0,10.5,F33,S,"East Orange, New Jersey, US",Southampton,"East Orange, New Jersey, US",11,527.0,1.0
68,3,male,19.0,19.0,3.0,0,0,8.1583,,S,"Bristol, Avon, England",Southampton,"Cleveland, Ohio, US",,746.0,0.0
69,3,female,17.0,17.0,3.0,4,2,7.925,,S,"Kullaa, Finland",Southampton,New York City,D,639.0,1.0
70,3,male,26.0,26.0,3.0,2,0,8.6625,,S,"Zürich, Switzerland",Southampton,"Milwaukee, Wisconsin, US",,942.0,0.0
71,2,male,32.0,32.0,2.0,0,0,10.5,,S,"St. Ives, Cornwall, England",Southampton,"Houghton, Michigan, US",,470.0,0.0
72,3,female,16.0,16.0,3.0,5,2,46.9,,S,"Fulham, England",Southampton,"Niagara Falls, New York, US",,833.0,0.0
73,2,male,21.0,21.0,2.0,0,0,73.5,,S,"Fritham, Hampshire, England",Southampton,"Manitoba, Canada",,458.0,0.0
74,3,male,26.0,26.0,3.0,1,0,14.4542,,C,"Agios Sostis, Peloponnese, Greece",Cherbourg,New York City,,724.0,0.0
75,3,male,32.0,32.0,3.0,0,0,56.4958,,S,"Hong Kong, China",Southampton,New York City,C,960.0,1.0
76,3,male,25.0,25.0,3.0,0,0,7.65,F G73,S,"Bergen, Norway",Southampton,"Minneapolis, Minnesota, US",,1033.0,0.0
77,3,male,,23.0,3.0,0,0,7.8958,,S,"Debnevo, Troyan, Bulgaria",Southampton,"Chicago, Illinois, US",,1229.0,0.0
78,3,male,,28.0,3.0,0,0,8.05,,S,"London, England",Southampton,New York City,,1043.0,0.0
79,2,male,0.83,0.83,2.0,0,2,29.0,,S,"Bangkok, Siam",Southampton,"Roseville, Illinois, US",13,366.0,1.0
80,3,female,30.0,31.0,3.0,0,0,12.475,,S,"New York City, New York, US",Southampton,New York City,13,786.0,1.0
81,3,male,22.0,22.0,3.0,0,0,9.0,,S,"Ruiselede, West Flanders, Belgium",Southampton,"Stanton, Ohio, US",,1288.0,0.0
82,3,male,29.0,29.0,3.0,0,0,9.5,,S,"Haaltert, East Flanders, Belgium",Southampton,"Detroit, Michigan, US",11,1199.0,1.0
83,3,female,,31.0,3.0,0,0,7.7875,,Q,"Lahardane, Mayo, Ireland",Queenstown,"Chicago, Illinois, US",13,1011.0,1.0
84,1,male,28.0,31.0,1.0,0,0,47.1,,S,"Montevideo, Uruguay",Southampton,"Montevideo, Uruguay",,55.0,0.0
85,2,female,17.0,17.0,2.0,0,0,10.5,,S,"Jersey, Channel Islands",Southampton,"Atlanta, Georgia, US",?,464.0,1.0
86,3,female,33.0,33.0,3.0,3,0,15.85,,S,"Kotka, Finland",Southampton,New York City,D,664.0,1.0
87,3,male,16.0,16.0,3.0,1,3,34.375,,S,"Rotherfield, East Sussex, England",Southampton,"Essex County, New Jersey, US",,817.0,0.0
88,3,male,,20.0,3.0,0,0,8.05,,S,"London, England",Southampton,New York City,,1221.0,0.0
89,1,female,23.0,23.0,1.0,3,2,263.0,C23 C25 C27,S,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",10,117.0,1.0
90,3,male,24.0,24.0,3.0,0,0,8.05,,S,"Milan[83], Italy",Southampton,New York City,,719.0,0.0
91,3,male,29.0,29.0,3.0,0,0,8.05,,S,"London, England",Southampton,New York City,,723.0,0.0
92,3,male,20.0,20.0,3.0,0,0,7.8542,,S,"Kalfsnäs, Småland, Sweden",Southampton,"Chicago, Illinois, US",,642.0,0.0
93,1,male,46.0,46.0,1.0,1,0,61.175,E31,S,"Amenia, North Dakota, US",Southampton,"Amenia, North Dakota, US",,69.0,0.0
94,3,male,26.0,25.0,3.0,1,2,20.575,,S,"Bartley Farm, Hampshire, England",Southampton,"Wichita, Kansas, US",,770.0,0.0
95,3,male,59.0,59.0,3.0,0,0,7.25,,S,"London, England",Southampton,"Merrill, Wisconsin, US",,745.0,0.0
96,3,male,,22.0,3.0,0,0,8.05,,S,"Heron's Ghyll, East Sussex, England",Southampton,"New York, US",,1207.0,0.0
97,1,male,71.0,71.0,1.0,0,0,34.6542,A5,C,"New York, New York, US",Cherbourg,"New York, New York, US",,133.0,0.0
98,1,male,23.0,23.0,1.0,0,1,63.3583,D10 D12,C,"New York, New York, US",Cherbourg,"New York, New York, US",7,140.0,1.0
99,2,female,34.0,34.0,2.0,0,1,23.0,,S,"Southampton, Hampshire, England, UK",Southampton,New York City,?,400.0,1.0
100,2,male,34.0,34.0,2.0,1,0,26.0,,S,"Vitebsk, Russian Empire",Southampton,"Bronx, New York, US",,472.0,0.0
101,3,female,28.0,28.0,3.0,0,0,7.8958,,S,"Vagovina, Croatia",Southampton,"Harrisburg, Pennsylvania, US",,1130.0,0.0
102,3,male,,29.0,3.0,0,0,7.8958,,S,"Belish, Troyan, Bulgaria",Southampton,"Chicago, Illinois, US",,1132.0,0.0
103,1,male,21.0,21.0,1.0,0,1,77.2875,D26,S,"Brunswick, Maine, US",Southampton,"Brunswick, Maine, US",,309.0,0.0
104,3,male,33.0,33.0,3.0,0,0,8.6542,,S,"Bäckebo, Småland, Sweden",Southampton,"Cheyenne, North Dakota, US",,897.0,0.0
105,3,male,37.0,37.0,3.0,2,0,7.925,,S,"Ruotsinpyhtää, Finland",Southampton,New York City,,843.0,0.0
106,3,male,28.0,28.0,3.0,0,0,7.8958,,S,"Gumostnik, Lovec, Bulgaria",Southampton,"Chicago, Illinois, US",,1027.0,0.0
107,3,female,21.0,21.0,3.0,0,0,7.65,,S,"Ålesund, Møre og Romsdal, Norway",Southampton,"Proctor, Minnesota, US",C,1186.0,1.0
108,3,male,,29.0,3.0,0,0,7.775,,S,"Bergen, Norway",Southampton,New York City,B,1041.0,1.0
109,3,male,38.0,38.0,3.0,0,0,7.8958,,S,"Bosanska Krupa, Bosnia",Southampton,"Harrisburg, Pennsylvania, US",,1144.0,0.0
110,3,female,,28.0,3.0,1,0,24.15,,Q,"Askeaton, Limerick, Ireland",Queenstown,"Brooklyn, New York, US",16,1037.0,1.0
111,1,male,47.0,46.0,1.0,0,0,52.0,C110,S,"Worcester, Massachusetts, US",Southampton,"Worcester, Massachusetts, US",,231.0,0.0
112,3,female,14.5,16.0,3.0,1,0,14.4542,,C,"Unknown, Syria",Cherbourg,New York City,,884.0,0.0
113,3,male,22.0,22.0,3.0,0,0,8.05,,S,"Cambridge, Cambridgeshire, England",Southampton,New York City,,676.0,0.0
114,3,female,20.0,20.0,3.0,1,0,9.825,,S,"Paavola, Northern Ostrobothnia, Finland",Southampton,New York City,,915.0,0.0
115,3,female,17.0,17.0,3.0,0,0,14.4583,,C,"Beirut, Lebanon",Cherbourg,New York City,,659.0,0.0
116,3,male,21.0,21.0,3.0,0,0,7.925,,S,"Heinola, Finland",Southampton,New York City,,1124.0,0.0
117,3,male,70.5,61.0,3.0,0,0,7.75,,Q,"Charleville, Cork, Ireland",Queenstown,New York City,,735.0,0.0
118,2,male,29.0,29.0,2.0,1,0,21.0,,S,"Plymouth, Devon, England",Southampton,"Salt Lake City, Utah, US",,580.0,0.0
119,1,male,24.0,24.0,1.0,0,1,247.5208,B58 B60,C,"Montreal, Quebec, Canada",Cherbourg,"Montreal, Quebec, Canada",,24.0,0.0
120,3,female,2.0,2.0,3.0,4,2,31.275,,S,"Kisa, Östergötland, Sweden",Southampton,"Winnipeg, Manitoba, Canada",,638.0,0.0
121,2,male,21.0,20.0,2.0,2,0,73.5,,S,"Fritham, Hampshire, England",Southampton,"The Pas, Manitoba, Canada",,449.0,0.0
122,3,male,,19.0,3.0,0,0,8.05,,S,"Kingston upon Thames, London, England",Southampton,"Hoboken, New Jersey, US",,1036.0,0.0
123,2,male,32.5,28.0,2.0,1,0,30.0708,,C,"Zahlé, Lebanon, Ottoman Empire[note 7]",Cherbourg,"Cleveland, Ohio, US",,519.0,0.0
124,2,female,32.5,37.0,2.0,0,0,13.0,E101,S,"Bude, Cornwall, England",Southampton,"Hartford, Connecticut, US",12,590.0,1.0
125,1,male,54.0,54.0,1.0,0,1,77.2875,D26,S,"Brunswick, Maine, US",Southampton,"Brunswick, Maine, US",,308.0,0.0
126,3,male,12.0,12.0,3.0,1,0,11.2417,,C,"El-Hakour, Lebanon",Cherbourg,"Jacksonville, Florida, US",C,1072.0,1.0
127,3,male,,20.0,3.0,0,0,7.75,,Q,"Craghbrien, Clare, Ireland",Queenstown,New York City,,1016.0,0.0
128,3,male,24.0,24.0,3.0,0,0,7.1417,,S,"Trondheim, Norway",Southampton,"Brooklyn, New York, US",13,993.0,1.0
129,3,female,,2.0,3.0,1,1,22.3583,F E69,C,"Sar'al, Syria[81]",Cherbourg,"Detroit, Michigan, US",C,703.0,1.0
130,3,male,45.0,45.0,3.0,0,0,6.975,,S,"Effington Rut, South Dakota, US",Southampton,"Effington Rut, South Dakota, US",,796.0,0.0
131,3,male,33.0,33.0,3.0,0,0,7.8958,,C,"Hrastelnica, Croatia",Cherbourg,New York City,,788.0,0.0
132,3,male,20.0,20.0,3.0,0,0,7.05,,S,"Funchal, Madeira Islands, Portugal",Southampton,New York City,,726.0,0.0
133,3,female,47.0,47.0,3.0,1,0,14.5,,S,"St Austell, Cornwall, England",Southampton,"Yonkers, New York, US",,1158.0,0.0
134,2,female,29.0,37.0,2.0,1,0,26.0,,S,"Bromsgrove, Worcestershire, England",Southampton,"Montreal, Quebec, Canada",10,592.0,1.0
135,2,male,25.0,25.0,2.0,0,0,13.0,,S,"Porthallow, Cornwall, England",Southampton,"Houghton, Michigan, US",,571.0,0.0
136,2,male,23.0,23.0,2.0,0,0,15.0458,,C,"Paris, France",Cherbourg,"Montreal, Quebec, Canada",,552.0,0.0
137,1,female,19.0,19.0,1.0,0,2,26.2833,D47,S,"New York, New York, US",Southampton,"New York, New York, US",5,216.0,1.0
138,1,male,37.0,37.0,1.0,1,0,53.1,C123,S,"Scituate, Massachusetts, US",Southampton,"Scituate, Massachusetts, US",,126.0,0.0
139,3,male,16.0,16.0,3.0,0,0,9.2167,,S,"Hedesunda, Gävleborg, Sweden",Southampton,"Mitchell, South Dakota, US",,1103.0,0.0
140,1,male,24.0,24.0,1.0,0,0,79.2,B86,C,"Paris, France",Cherbourg,"New York, New York, US",,142.0,0.0
141,3,female,,40.0,3.0,0,2,15.2458,,C,"Unknown, Lebanon",Cherbourg,"Kent, British Columbia, Canada",,696.0,0.0
142,3,female,22.0,22.0,3.0,0,0,7.75,,S,"Kisa, Östergötland, Sweden",Southampton,"Hackensack, New Jersey, US",13,1077.0,1.0
143,3,female,24.0,24.0,3.0,1,0,15.85,,S,"Helsinki, Finland",Southampton,"Monessen, Pennsylvania, US",15,850.0,1.0
144,3,male,19.0,19.0,3.0,0,0,6.75,,Q,"Glanmire, Cork, Ireland",Queenstown,"Charlestown, US",,699.0,0.0
145,2,male,18.0,17.0,2.0,0,0,11.5,,S,"San Ambrosio, Córdoba, Argentina",Southampton,"Trenton, New Jersey, US",,329.0,0.0
146,2,male,19.0,19.0,2.0,1,1,36.75,,S,"St. Ives, Cornwall, England",Southampton,"Houghton, Michigan, US",,525.0,0.0
147,3,male,27.0,27.0,3.0,0,0,7.7958,,S,"Malmö, Skåne, Sweden",Southampton,"Chicago, Illinois, US",A,1293.0,1.0
148,3,female,9.0,7.0,3.0,2,2,34.375,,S,"Rotherfield, East Sussex, England",Southampton,"Essex County, New Jersey, US",,818.0,0.0
149,2,male,36.5,32.0,2.0,0,2,26.0,F2,S,"Nice, France",Southampton,New York City,,521.0,0.0
150,2,male,42.0,42.0,2.0,0,0,13.0,,S,"London, England",Southampton,"Jacksonville, Florida, US",,362.0,0.0
151,2,male,51.0,51.0,2.0,0,0,12.525,,S,"Jacksonville, Florida, US",Southampton,"Jacksonville, Florida, US",,338.0,0.0
152,1,female,22.0,22.0,1.0,1,0,66.6,C2,S,"Isleworth, London, England, UK",Southampton,"New York, New York, US",8,226.0,1.0
153,3,male,55.5,48.0,3.0,0,0,8.05,,S,"Bournemouth, Dorset, England",Southampton,"Washington, DC, US",,1024.0,0.0
154,3,male,40.5,35.0,3.0,0,2,14.5,,S,"London, England",Southampton,"North Wales, Pennsylvania, US",,1269.0,0.0
155,3,male,,27.0,3.0,0,0,7.3125,,S,"Sunnhordland, Norway",Southampton,"Broderick, Canada",,1095.0,0.0
156,1,male,51.0,51.0,1.0,0,1,61.3792,,C,"Geneva, Switzerland",Cherbourg,"Radnor, Pennsylvania, US",,322.0,0.0
157,3,female,16.0,17.0,3.0,0,0,7.7333,,Q,"Esker, Longford, Ireland",Queenstown,New York City,16,825.0,1.0
158,3,male,30.0,30.0,3.0,0,0,8.05,,S,"London, England",Southampton,New York City,,740.0,0.0
159,3,male,,37.0,3.0,0,0,8.6625,,S,"Pisac, Croatia",Southampton,New York City,,1222.0,0.0
160,3,male,,4.0,3.0,8,2,69.55,,S,"Peterborough, Cambridgeshire, England",Southampton,"Jacksonville, Florida, US",,1184.0,0.0
161,3,male,44.0,44.0,3.0,0,1,16.1,,S,"Bournemouth, Dorset, England",Southampton,"Newark, New Jersey, US",,747.0,0.0
162,2,female,40.0,40.0,2.0,0,0,15.75,,S,"Aberdeen, Aberdeenshire, Scotland",Southampton,"Portland, Oregon, US",9,588.0,1.0
163,3,male,26.0,26.0,3.0,0,0,7.775,,S,"Fridhemsberg, Halland, Sweden",Southampton,"Monee, Illinois, US",,678.0,0.0
164,3,male,17.0,17.0,3.0,0,0,8.6625,,S,"Brezik, Croatia",Southampton,"Sault Ste. Marie, Michigan, US",,708.0,0.0
165,3,male,1.0,1.0,3.0,4,1,39.6875,,S,"Ylihärmä, South Ostrobothnia, Finland",Southampton,"Coal Center, Pennsylvania, US",,1114.0,0.0
166,3,male,9.0,9.0,3.0,0,2,20.525,,S,"Strood, Kent, England",Southampton,"Detroit, Michigan, US",C,829.0,1.0
167,1,female,,48.0,1.0,0,1,55.0,E33,S,"St Leonards-on-Sea, East Sussex, England, UK",Southampton,"New York, New York, US",6,75.0,1.0
168,3,female,45.0,43.0,3.0,1,4,27.9,,S,"Hällekis, Västergötland, Sweden",Southampton,"Iron Mountain, Michigan, US",,1215.0,0.0
169,1,male,,60.0,1.0,0,0,25.925,,S,"New York, New York, US",Cherbourg,"New York, New York, US",,22.0,0.0
170,3,male,28.0,24.0,3.0,0,0,56.4958,,S,"Hong Kong, China",Southampton,New York City,,979.0,0.0
171,1,male,61.0,61.0,1.0,0,0,33.5,B19,S,"Brooklyn, New York, US",Belfast,"Brooklyn, New York, US",,303.0,0.0
172,3,male,4.0,4.0,3.0,4,1,29.125,,Q,"Athlone, Westmeath, Ireland",Queenstown,"Spokane, Washington, US",,1150.0,0.0
173,3,female,1.0,1.0,3.0,1,1,11.1333,,S,"St. Charles, Illinois, US",Southampton,"St. Charles, Illinois, US",15,904.0,1.0
174,3,male,21.0,21.0,3.0,0,0,7.925,,S,"Mountain Home, Idaho, US",Southampton,"Mountain Home, Idaho, US",,1212.0,0.0
175,1,male,56.0,56.0,1.0,0,0,30.6958,A7,C,"Paris, France",Cherbourg,"Long Island, New York, US",,263.0,0.0
176,3,male,18.0,18.0,3.0,1,1,7.8542,,S,"Grimshut, Småland, Sweden",Southampton,New York City,,944.0,0.0
177,3,male,,5.0,3.0,3,1,25.4667,,S,"Liévin, Pas-de-Calais, France",Southampton,"Mystic, Iowa, US",,965.0,0.0
178,1,female,50.0,50.0,1.0,0,0,28.7125,C49,C,"Chicago, Illinois, US",Cherbourg,"Chicago, Illinois, US",,169.0,0.0
179,2,male,30.0,30.0,2.0,0,0,13.0,,S,"Auburn, New York, US",Southampton,"Auburn, New York, US",,430.0,0.0
180,3,male,36.0,36.0,3.0,0,0,0.0,,S,"New York City, New York, US",Southampton,New York City,,970.0,0.0
181,3,female,,7.0,3.0,8,2,69.55,,S,"Peterborough, Cambridgeshire, England",Southampton,"Jacksonville, Florida, US",,1183.0,0.0
182,2,male,,39.0,1.0,0,0,15.05,,C,"Paris, France",Cherbourg,"New York, New York, US",,143.0,0.0
183,3,male,9.0,9.0,3.0,4,2,31.3875,,S,"Alseda, Småland, Sweden",Southampton,"Worcester, Massachusetts, US",,651.0,0.0
184,2,male,1.0,1.0,2.0,2,1,39.0,F4,S,"Guntur, Madras Province, British India",Southampton,"Benton Harbor, Michigan, US",11,345.0,1.0
185,3,female,4.0,4.0,3.0,0,2,22.025,,S,"Zürich, Switzerland",Southampton,"Milwaukee, Wisconsin, US",2,940.0,1.0
186,1,male,,38.0,1.0,0,0,50.0,A32,S,"Seattle, Washington, US",Southampton,"Seattle, Washington, US",,239.0,0.0
187,3,female,,26.0,3.0,1,0,15.5,,Q,"Pallasgreen, Limerick, Ireland",Queenstown,New York City,?,1080.0,1.0
188,1,male,45.0,45.0,1.0,0,0,26.55,,S,"New York, New York, US",Southampton,"New York, New York, US",9,238.0,1.0
189,3,male,40.0,42.0,3.0,1,1,15.5,,Q,"Carrowskehine, Mayo, Ireland",Queenstown,"Chicago, Illinois, US",,684.0,0.0
190,3,male,36.0,36.0,3.0,0,0,7.8958,,S,"Bratina, Croatia",Southampton,"Youngstown, Ohio, US",,1266.0,0.0
191,2,female,32.0,21.0,2.0,0,0,13.0,,S,"Brooklyn, New York, US",Southampton,"Brooklyn, New York, US",9,541.0,1.0
192,2,male,19.0,19.0,2.0,0,0,13.0,,S,"St. Ives, Cornwall, England",Southampton,"Houghton, Michigan, US",,369.0,0.0
193,3,female,19.0,19.0,3.0,1,0,7.8542,,S,"Eskilstrup, Denmark",Southampton,"Portland, Oregon, US",16,631.0,1.0
194,2,male,3.0,3.0,2.0,1,1,26.0,F2,S,"Nice, France",Southampton,New York City,D,522.0,1.0
195,1,female,44.0,44.0,1.0,0,0,27.7208,B4,C,"Denver, Colorado, US",Cherbourg,"Denver, Colorado, US",6,44.0,1.0
196,1,female,58.0,59.0,1.0,0,0,146.5208,B80,C,"New York, New York, US",Cherbourg,"New York, New York, US",6,276.0,1.0
197,3,male,,26.0,3.0,0,0,7.75,,Q,"Ballywilliam, Wexford, Ireland",Queenstown,"Chicago, Illinois, US",,1025.0,0.0
